	x
813	YOL061W
814	YBR171W
815	YJL063C
816	YER118C
817	YMR012W
818	YLR110C
819	YKL122C
820	YIL076W
821	YLR091W
822	YLR112W
823	YNL298W
824	YMR239C
825	YER003C
826	YHR204W
827	YPL241C
828	YDR433W
829	YIL132C
830	YHL011C
831	YGL155W
832	YML113W
833	YDR280W
834	YLR022C
835	YOR001W
836	YCR059C
837	YPR027C
838	YCR041W
839	YDL202W
840	YOR288C
841	YOR323C
842	YGR159C
843	YGR119C
844	YKL082C
845	YGR152C
846	YDR174W
847	YDL145C
848	YLR287C
849	YNL207W
850	YOR359W
851	YBR220C
852	YER082C
853	YPL217C
854	YNR015W
855	YKR035W-A
856	YLR243W
857	YFR036W-A
858	YML023C
859	YGL170C
860	YMR270C
861	YHR143W-A
862	YJL118W
863	YGL116W
864	YGR216C
865	YPL050C
866	YDL127W
867	YIL020C
868	YLR265C
869	YOR202W
870	YAR002C-A
871	YBR267W
872	YHL012W
873	YFR006W
874	YAL029C
875	YPL251W
876	YNL010W
877	YDR152W
878	YBR156C
879	YGR063C
880	YOR116C
881	YJR009C
882	YGL050W
883	YML074C
884	YPL058C
885	YKL111C
886	YMR310C
887	YOR074C
888	YNR025C
889	YLR291C
890	YML064C
891	YOL092W
892	YGL069C
893	YHR152W
894	YGR040W
895	YDL226C
896	YBR164C
897	YOR305W
898	YGL257C
899	YNL085W
900	YNR017W
901	YNR024W
902	YBR172C
903	YOR209C
904	YOL125W
905	YJR097W
906	YJL009W
907	YLR293C
908	YPR130C
909	YOL011W
910	YJL193W
911	YOL028C
912	YNL102W
913	YML103C
914	YDR238C
915	YPR060C
916	YOR346W
917	YJL124C
918	YDL225W
919	YIL173W
920	YJL179W
921	YPR080W
922	YDR487C
923	YJR112W
924	YOR318C
925	YEL022W
926	YOL103W
927	YNL072W
928	YCR023C
929	YDL116W
930	YLR463C
931	YOR390W
932	YBR180W
933	YLR429W
934	YGR228W
935	YDR016C
936	YAL035W
937	YAL037C-B
938	YGL016W
939	YMR122W-A
940	YDR514C
941	YBL098W
942	YIL104C
943	YPL068C
944	YCL011C
945	YER107C
946	YCR020W-B
947	YNL029C
948	YKL144C
949	YPR143W
950	YJL143W
951	YLR354C
952	YML036W
953	YOR260W
954	YER049W
955	YGL063W
956	YBR271W
957	YNR055C
958	YPL129W
959	YJL061W
960	YOL022C
961	YLR459W
962	YLR397C
963	YHR077C
964	YPL210C
965	YAL003W
966	YBR058C-A
967	YJR076C
